novo caso
8131.0 0.7893243996044341
8131.0 0.9506792650745945
8131.0 1.1551321809718325
50869.0 1.1724984188458432
50869.0 1.3915250191814355
50869.0 1.4046136781090266
50869.0 1.9784405602769914
44879.0 2.241083249109112
44879.0 2.6857077801334923
44879.0 3.4376993363579462
44879.0 4.338371681385141
44879.0 4.6324198883590615
33669.0 5.138991419390291
7737.0 5.416848444318814
7737.0 5.686886235089565
7737.0 6.954551900115069
7737.0 7.250091149907018
7737.0 8.412318687920902
7737.0 8.798900779331126
7737.0 10.869658560970194
7474.0 11.26797835363043
7474.0 11.376730697769384
7474.0 11.409422551486434
891.0 12.109792619902676
1937.0 12.294444986398144
1937.0 13.507386427945208
1937.0 13.617207676769432
1937.0 13.634072006614975
1937.0 14.113968111313453
1937.0 15.135568546746878
1937.0 15.278711420071925
1937.0 16.051269843712454
1937.0 16.67008166682221
1937.0 16.738050535185007
1937.0 17.501612059944087
1937.0 17.76638785229297
1937.0 18.80011000763622
1937.0 18.929999331434836
1937.0 19.020260311354605
1937.0 19.184282527754306
1937.0 19.362826527862012
1937.0 19.69445039332191
1937.0 20.105041439285536
1937.0 20.24869748466732
1937.0 20.353863447751515
1937.0 20.824713787821445
1937.0 21.0718412658737
6573.0 21.74793169063878
6573.0 22.166479165492266
0.0 22.217363481950528
